What is your view on politics in us & world,Ballot used for interview,Year of birth,Household type,Number in family of r,Rs income in constant $,Family income in constant $,Rs job is useful to society,R has opportunity to advance,Rs income is high,Rs job is secure,Standard of living of r will improve,Relationship status and cohabitation or not,The highest degree r have earned,Total family income,Respondents income,How much time felt sad in past wk,How much time felt happy in past wk,How much time felt depressed in past wk,Hours of internet use on weekends,Minutes of internet use on weekends,Hours of internet use on weekdays,Minutes of internet use on weekdays,Use twitter,Use internet/apps more than occassionally,I am meeting my current goals,I see myself as successful,I expect more good things to happen to me than bad,I'm always optimistic about my future,Hours per day watching tv,How often does r read newspaper,Rs living standard compared to parents,Happiness of marriage,General happiness,Strength of affiliation,Political party affiliation,Region of interview,Respondents income,Total family income,Was r born in this country,Rs family income when 16 yrs old,Living with parents when 16 yrs old,Marital status,Number of hours usually work a week,Respondent id number,Happiness of relt with partner,Condition of health,Satisfaction with financial situation,Rs self ranking of social position,Job or housework,Is r likely to lose job,Spend evening with friends,Spend evening with relatives,Confidence in congress,Confid. in united states supreme court,Confid. in exec branch of fed govt,Confidence in education,Confidence in major companies,Can people be trusted,Is life exciting or dull,Gss year for this respondent                       
Not applicable,Ballot b,1947,"2adlts,mar,0kids",1st person,31590,74880,Strongly agree,Neither,Agree,Strongly agree,Strongly agree,I am married and living in the same household as my husband or wife.,Not applicable,$150000 to $169999,$60000 to 74999,Not applicable,Not applicable,Not applicable,1,0,3,0,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,2,Never,Much better,Very happy,Pretty happy,Not very strong,"Ind,near dem",New england,$25000 or more,$25000 or more,Yes,Below average,Mother & father,Married,Not applicable,516,Not applicable,Not applicable,More or less,4,Very satisfied,Not likely,Sev times a year,Sev times a mnth,Only some,A great deal,A great deal,A great deal,A great deal,Can trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1982,"2adlts,mar,0kids",2nd person,0,38610,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Master's,$75000 to $89999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Never,Not applicable,Very happy,Very happy,No religion,Strong democrat,New england,Not applicable,$25000 or more,Yes,Below average,Mother,Married,Not applicable,517,Not applicable,Excellent,More or less,4,Mod. satisfied,Not likely,Sev times a week,Sev times a week,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
Not applicable,Ballot c,1992,"3adlts,0mar,rel,0kids",1st person,2106,8775,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,I don’t have a steady partner.,Not applicable,$17500 to 19999,$4 000 to 4 999,None or almost none of the time,Most of the time,None or almost none of the time,1,30,1,0,No,Yes,Slightly true,Slightly true,Agree,Agree,Not applicable,Not applicable,Somewhat worse,Not applicable,Not too happy,Not very strong,Independent,New england,$4000 to 4999,$15000 - 19999,Yes,Far below average,Mother,Never married,Not applicable,518,Not applicable,Good,Satisfied,5,No answer,Not applicable,Not applicable,Not applicable,Hardly any,Only some,Hardly any,Hardly any,Only some,Cannot trust,Exciting,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot a,1971,"2adlts,mar,1+kids",2nd person,0,31590,No issp,No issp,No issp,No issp,Not applicable,I am married and living in the same household as my husband or wife.,Associate's,$60000 to 74999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,Once a week,Not applicable,Very happy,Pretty happy,Not very strong,"Ind,near dem",New england,Not applicable,$25000 or more,Yes,Average,Mother & father,Married,Not applicable,519,Not applicable,Good,Not at all sat,5,No answer,Not applicable,Once a month,Sev times a week,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot b,1982,"2as,ntmar,ntrel,opsex,1+ks",1st person,0,31590,No issp,No issp,No issp,No issp,Agree,Not applicable,Not applicable,$60000 to 74999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Yes,Definitely false,Definitely false,Neutral,Disagree,1,Few times a week,Somewhat better,Not applicable,Not too happy,No religion,"Ind,near dem",New england,Not applicable,$25000 or more,Yes,Below average,Other,Never married,Not applicable,520,Pretty happy,Not applicable,Not at all sat,7,A little dissat,Not applicable,Once a year,Sev times a week,Only some,Don't know,Only some,Hardly any,Only some,Cannot trust,Not applicable,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot a,1958,"2adlts,mar,1+kids",2nd person,46800,46800,No issp,No issp,No issp,No issp,Not applicable,I am married and living in the same household as my husband or wife.,Not applicable,$90000 to $109999,$90000 to $109999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,Everyday,Not applicable,Very happy,Pretty happy,Not very strong,Not str republican,New england,$25000 or more,$25000 or more,Yes,Average,Mother & father,Married,Not applicable,521,Not applicable,Poor,Satisfied,5,No answer,Not likely,Sev times a mnth,Sev times a mnth,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1969,"4+adlts,2mar,0kids",2nd person,31590,56160,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Master's,$110000 to $129999,$60000 to 74999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,Once a week,Not applicable,Very happy,Very happy,Not very strong,"Ind,near rep",New england,$25000 or more,$25000 or more,Yes,Average,Mother & father,Married,Not applicable,522,Not applicable,Excellent,Not at all sat,5,Very satisfied,Not likely,Sev times a year,Sev times a year,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1966,"2adlts,mar,1+kids",1st person,164382.0376,131676.6906,No issp,No issp,No issp,No issp,Not applicable,I am married and living in the same household as my husband or wife.,Master's,$170000 or over,$170000 or over,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Everyday,Not applicable,Very happy,Very happy,Not very strong,Not str democrat,Pacific,Refused,Refused,Yes,Below average,Mother,Married,Not applicable,523,Not applicable,Good,Satisfied,Top,No answer,Not likely,Once a month,Almost daily,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1983,"2adlts,mar,0kids",2nd person,164382.0376,131676.6906,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Law,$170000 or over,$170000 or over,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Few times a week,Not applicable,Pretty happy,Pretty happy,Somewhat strong,Not str democrat,Pacific,Refused,Refused,No,Average,Mother & father,Married,Not applicable,524,Not applicable,Good,More or less,Top,Very dissatisfied,Not too likely,Sev times a mnth,Once a month,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot b,1931,"2adlts,mar,0kids",2nd person,0,65520,No issp,No issp,No issp,No issp,Agree,Not applicable,Phd,$130000 to $149999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Somewhat false,Somewhat false,Neutral,Neutral,2,Everyday,Much better,Very happy,Pretty happy,No religion,Strong democrat,Pacific,Not applicable,$25000 or more,No,Below average,Mother & father,Married,Not applicable,525,Not applicable,Not applicable,Satisfied,2,Not applicable,Not applicable,Once a year,Sev times a week,Only some,Hardly any,Only some,Only some,Only some,Can trust,Not applicable,2016
Not applicable,Ballot b,1971,"1adlt,1+kids",1st person,164382.0376,131676.6906,Strongly agree,Agree,Strongly agree,Strongly agree,Neither,I don’t have a steady partner.,Not applicable,$170000 or over,$170000 or over,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,1,Less than once wk,Somewhat worse,Not applicable,Very happy,Strong,Strong democrat,Pacific,Refused,Refused,Yes,Far below average,Other,Divorced,Not applicable,526,Not applicable,Not applicable,More or less,3,Very satisfied,Not likely,Sev times a year,Sev times a year,Hardly any,Only some,Only some,Only some,Only some,Cannot trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1993,"2adlts,ntmar,rel,1+kids",2nd person,6435,15210,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$30000 to 34999,$12500 to 14999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Never,Not applicable,Not applicable,Pretty happy,Not very strong,Not str democrat,Pacific,$10000 - 14999,$25000 or more,Yes,Average,Mother,Never married,Not applicable,527,Not applicable,Excellent,Not at all sat,5,Very satisfied,Not likely,Almost daily,Almost daily,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
Not applicable,Ballot c,1983,"2adlts,mar,0kids",1st person,164382.0376,131676.6906,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,I am married and living in the same household as my husband or wife.,Not applicable,$170000 or over,$170000 or over,Some of the time,Some of the time,Some of the time,14,0,14,0,Yes,Yes,Slightly false,Mostly true,Agree,Disagree,Not applicable,Not applicable,About the same,Pretty happy,Pretty happy,No religion,"Ind,near dem",Pacific,Refused,Refused,Yes,Above average,Mother & father,Married,Not applicable,528,Not applicable,Fair,Satisfied,3,A little dissat,Not applicable,Not applicable,Not applicable,Hardly any,A great deal,A great deal,Hardly any,Only some,Cannot trust,Routine,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1965,"2adlts,mar,0kids",2nd person,2106,56160,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Bachelor's,$110000 to $129999,$4 000 to 4 999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Once a week,Not applicable,Pretty happy,Not too happy,No religion,"Ind,near rep",Pacific,$4000 to 4999,$25000 or more,No,Average,Mother & father,Married,Not applicable,529,Not applicable,Good,More or less,5,Very satisfied,Fairly likely,Sev times a mnth,Almost daily,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1964,"2as,ntmar,ntrel,opsex,1+ks",1st person,31590,65520,No issp,No issp,No issp,No issp,Not applicable,"I have a steady partner, and we live in the same household.",Bachelor's,$130000 to $149999,$60000 to 74999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Never,Not applicable,Not applicable,Pretty happy,No religion,"Ind,near rep",Pacific,$25000 or more,$25000 or more,Yes,Average,Mother & father,Divorced,Not applicable,530,Very happy,Excellent,Not at all sat,5,No answer,Not too likely,Sev times a year,Sev times a mnth,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
Not applicable,Ballot b,1938,"1adlt,0kids",1st person,0,12870,No issp,No issp,No issp,No issp,Agree,I don’t have a steady partner.,Not applicable,$25000 to 29999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,3,Never,Don't know,Not applicable,Very happy,No religion,Strong democrat,Pacific,Not applicable,$25000 or more,No,Average,Mother,Widowed,Not applicable,531,Not applicable,Not applicable,More or less,5,Not applicable,Not applicable,Once a year,Sev times a week,Only some,Only some,Only some,Only some,Only some,Can trust,Not applicable,2016
Not applicable,Ballot c,1947,"2adlts,mar,0kids",1st person,0,131676.6906,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,I am married and living in the same household as my husband or wife.,Not applicable,$170000 or over,Not applicable,None or almost none of the time,All or almost all of the time,None or almost none of the time,3,0,8,0,Yes,Yes,Definitely true,Definitely true,Strongly agree,Strongly agree,Not applicable,Not applicable,Much better,Very happy,Very happy,No religion,Not str democrat,Pacific,Not applicable,Refused,No,Average,Mother & father,Married,Not applicable,532,Not applicable,Excellent,Satisfied,Top,Very satisfied,Not applicable,Not applicable,Not applicable,Hardly any,A great deal,A great deal,Only some,A great deal,Can trust,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot b,1954,"2adlts,mar,0kids",2nd person,0,38610,No issp,No issp,No issp,No issp,Disagree,Not applicable,Associate's,$75000 to $89999,Not applicable,Not applicable,Not applicable,Not applicable,2,0,3,0,No,Yes,Definitely false,Somewhat false,Neutral,Agree,6,Everyday,Much worse,Very happy,Pretty happy,Not very strong,Not str republican,Pacific,Not applicable,$25000 or more,Yes,Above average,Mother & father,Married,Not applicable,533,Not applicable,Not applicable,Not at all sat,5,A little dissat,Not applicable,Sev times a week,Sev times a year,Hardly any,Hardly any,Hardly any,Only some,Hardly any,Cannot trust,Not applicable,2016
Not applicable,Ballot c,1942,"1adlt,0kids",1st person,0,56160,Agree,Neither,Neither,Neither,Neither,Not applicable,Not applicable,$110000 to $129999,Not applicable,Some of the time,Most of the time,None or almost none of the time,Not applicable,Not applicable,Not applicable,Not applicable,No,Yes,Mostly true,Mostly true,Agree,Agree,Not applicable,Not applicable,Somewhat better,Not applicable,Pretty happy,Not very strong,Independent,Pacific,Not applicable,$25000 or more,Yes,Below average,Mother & father,Never married,Not applicable,534,Not applicable,Good,More or less,5,Not applicable,Not applicable,Not applicable,Not applicable,Only some,A great deal,Only some,Only some,Only some,Can trust,Exciting,2016
Not applicable,Ballot b,1940,"4+adlts,0mar,0kids",4th person,0,0,No issp,No issp,No issp,No issp,Agree,"I have a steady partner, and we live in the same household.",Not applicable,Don't know,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,2,Never,Much worse,Not applicable,Not too happy,Strong,Not str democrat,Pacific,Not applicable,Don't know,No,Below average,Mother & father,Separated,Not applicable,535,Pretty happy,Not applicable,More or less,Bottom,Not applicable,Not applicable,Sev times a year,Sev times a week,Only some,A great deal,A great deal,A great deal,Only some,Cannot trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1940,"1adlt,0kids",1st person,0,46800,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Master's,$90000 to $109999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,Never,Not applicable,Not applicable,Pretty happy,No religion,Other party,Pacific,Not applicable,$25000 or more,Yes,Don't know,Mother & father,Never married,Not applicable,536,Not applicable,Fair,Satisfied,Don't know,Not applicable,Not applicable,Sev times a week,Never,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
Not applicable,Ballot c,1969,"2adlts,mar,1+kids",1st person,25740,31590,Neither,Neither,Disagree,Agree,Agree,I am married and living in the same household as my husband or wife.,Not applicable,$60000 to 74999,$50000 to 59999,None or almost none of the time,Most of the time,None or almost none of the time,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Slightly true,Slightly true,Agree,Neutral,Not applicable,Not applicable,Somewhat better,Pretty happy,Pretty happy,Not very strong,Not str democrat,Pacific,$25000 or more,$25000 or more,Yes,Below average,Mother & father,Married,Not applicable,537,Not applicable,Fair,Not at all sat,6,Mod. satisfied,Not applicable,Not applicable,Not applicable,Only some,Hardly any,Hardly any,Only some,Hardly any,Cannot trust,Routine,2016
Not applicable,Ballot c,1985,"3adlts,2mar,sp,rel,1+kids",1st person,0,15210,No issp,No issp,No issp,No issp,Agree,Not applicable,Not applicable,$30000 to 34999,Not applicable,None or almost none of the time,All or almost all of the time,None or almost none of the time,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Slightly true,Slightly true,Neutral,Agree,Not applicable,Not applicable,Much better,Very happy,Pretty happy,Strong,Not str democrat,Pacific,Not applicable,$25000 or more,Yes,Far below average,Mother,Married,Not applicable,538,Not applicable,Good,Satisfied,7,Mod. satisfied,Not applicable,Not applicable,Not applicable,Only some,Only some,Only some,Only some,Only some,Cannot trust,Routine,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot a,1929,"1adlt,0kids",1st person,0,0,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,Don't know,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8,Everyday,Not applicable,Not applicable,Pretty happy,Not very strong,Not str republican,Pacific,Not applicable,Don't know,Yes,Average,Mother & father,Widowed,Not applicable,539,Not applicable,Good,Satisfied,4,Not applicable,Not applicable,Never,Never,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot b,1988,"1adlt,0kids",1st person,12870,12870,No issp,No issp,No issp,No issp,Agree,Not applicable,Not applicable,$25000 to 29999,$25000 to 29999,Not applicable,Not applicable,Not applicable,2,0,1,0,No,Yes,Definitely true,Definitely true,Agree,Strongly agree,2,Never,Somewhat better,Not applicable,Pretty happy,Strong,Not str republican,Pacific,$25000 or more,$25000 or more,No,Far below average,Father & stpmother,Never married,Not applicable,540,Not applicable,Not applicable,More or less,Bottom,Mod. satisfied,Not too likely,Never,Sev times a week,A great deal,A great deal,A great deal,A great deal,A great deal,Cannot trust,Not applicable,2016
Not applicable,Ballot b,1969,"1adlt,0kids",1st person,0,9945,Agree,Disagree,Disagree,Disagree,Disagree,I don’t have a steady partner.,Not applicable,$20000 to 22499,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,2,Everyday,Somewhat worse,Not applicable,Pretty happy,Not very strong,Not str democrat,Pacific,Not applicable,$20000 - 24999,Yes,Far above average,Mother & father,Never married,Not applicable,541,Not applicable,Not applicable,Not at all sat,4,Mod. satisfied,Don't know,Sev times a year,Once a year,Hardly any,Hardly any,Hardly any,A great deal,Hardly any,Cannot trust,Not applicable,2016
Not applicable,Ballot c,1958,"3adlts,2mar,sp,rel,0kids",2nd person,0,0,Agree,Neither,Agree,Agree,Neither,I am married and living in the same household as my husband or wife.,Not applicable,Refused,Refused,Some of the time,Most of the time,None or almost none of the time,0,45,0,45,No,Yes,Mostly true,Somewhat true,Agree,Agree,Not applicable,Not applicable,Much better,Pretty happy,Pretty happy,No religion,Strong democrat,Pacific,Refused,Refused,Yes,Below average,Mother,Married,Not applicable,542,Not applicable,Good,More or less,No answer,Mod. satisfied,Not applicable,Not applicable,Not applicable,Hardly any,Only some,A great deal,Only some,Only some,Can trust,Routine,2016
Don't know,Ballot b,1984,"2adlts,mar,1+kids",1st person,0,74880,No issp,No issp,No issp,No issp,Agree,Not applicable,Not applicable,$150000 to $169999,Not applicable,Not applicable,Not applicable,Not applicable,2,0,2,0,No,Yes,Mostly true,Mostly true,Agree,Agree,1,Never,About the same,Pretty happy,Pretty happy,Not very strong,Strong democrat,Pacific,Not applicable,$25000 or more,Yes,Below average,Mother & father,Married,Not applicable,543,Not applicable,Not applicable,Satisfied,8,Mod. satisfied,Not too likely,Once a month,Once a month,Only some,Only some,Only some,Only some,Only some,Don't know,Not applicable,2016
Not applicable,Ballot b,1969,"1adlt,1+kids",1st person,17550,21060,Strongly agree,Strongly agree,Neither,Neither,Agree,I don’t have a steady partner.,Not applicable,$40000 to 49999,$35000 to 39999,Not applicable,Not applicable,Not applicable,2,0,4,0,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,0,Never,Much worse,Not applicable,Pretty happy,Strong,"Ind,near dem",Pacific,$25000 or more,$25000 or more,Yes,Far above average,Mother & father,Never married,Not applicable,544,Not applicable,Not applicable,More or less,3,Very satisfied,Not too likely,Almost daily,Sev times a mnth,Only some,Only some,A great deal,Only some,Only some,Can trust,Not applicable,2016
Not applicable,Ballot c,1989,"2as,ntmar,ntrel,opsex,0ks",1st person,0,9945,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,"I have a steady partner, and we live in the same household.",Not applicable,$20000 to 22499,Not applicable,Some of the time,Some of the time,Some of the time,1,30,3,0,No,Yes,Slightly true,Slightly false,Agree,Disagree,Not applicable,Not applicable,Much worse,Not applicable,Not too happy,Not very strong,"Ind,near dem",Pacific,Not applicable,$20000 - 24999,Yes,Above average,Mother & father,Never married,Not applicable,545,Pretty happy,Good,Satisfied,3,A little dissat,Not applicable,Not applicable,Not applicable,Only some,Only some,Only some,Only some,Hardly any,Cannot trust,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot b,1959,"1adlt,0kids",1st person,0,6435,No issp,No issp,No issp,No issp,Disagree,Not applicable,Bachelor's,$12500 to 14999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Somewhat true,Mostly true,Agree,Agree,3,Never,Somewhat worse,Not applicable,Pretty happy,Not very strong,Not str democrat,Pacific,Not applicable,$10000 - 14999,Yes,Average,Mother & father,Widowed,Not applicable,546,Not applicable,Not applicable,More or less,8,Very satisfied,Not applicable,Sev times a mnth,Sev times a week,Only some,Only some,Only some,Only some,Only some,Can trust,Not applicable,2016
Not applicable,Ballot c,1984,"1adlt,1+kids",1st person,21060,31590,Strongly agree,Strongly agree,Neither,Strongly agree,Neither,Not applicable,Not applicable,$60000 to 74999,$40000 to 49999,None or almost none of the time,Most of the time,None or almost none of the time,8,0,12,0,Yes,Yes,Somewhat true,Mostly true,Agree,Neutral,Not applicable,Not applicable,Somewhat better,Not applicable,Pretty happy,Not very strong,Not str democrat,Pacific,$25000 or more,$25000 or more,Yes,Below average,Other,Never married,Not applicable,547,Pretty happy,Fair,More or less,5,Very satisfied,Not applicable,Not applicable,Not applicable,Hardly any,Hardly any,Hardly any,Hardly any,Only some,Cannot trust,Routine,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1992,"4+adlts,2mar,0kids",4th person,0,65520,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$130000 to $149999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Never,Not applicable,Not applicable,Pretty happy,Not very strong,Independent,Pacific,Not applicable,$25000 or more,Yes,Average,Mother & father,Never married,Not applicable,548,Not applicable,Excellent,More or less,2,Very dissatisfied,Very likely,Sev times a year,Sev times a mnth,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot b,1935,"1adlt,0kids",1st person,0,234,No issp,No issp,No issp,No issp,Agree,Not applicable,Not applicable,Under $1 000,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Slightly true,Slightly true,Agree,Strongly disagree,5,Never,Much better,Not applicable,Not too happy,Strong,"Ind,near dem",Pacific,Not applicable,Lt $1000,No,Far below average,Mother & father,Separated,Not applicable,549,Not applicable,Not applicable,Satisfied,6,Not applicable,Not applicable,Sev times a year,Once a year,Only some,Only some,Only some,Only some,Only some,Cannot trust,Not applicable,2016
Not applicable,Ballot c,1997,"4+adlts,2mar,1+kids",4th person,0,12870,Strongly agree,Disagree,Neither,Strongly agree,Agree,Not applicable,Not applicable,$25000 to 29999,Not applicable,None or almost none of the time,Most of the time,None or almost none of the time,1,0,1,0,No,Yes,Mostly true,Mostly true,Neutral,Agree,Not applicable,Not applicable,Much better,Not applicable,Not too happy,No religion,"Ind,near dem",Pacific,Not applicable,$25000 or more,Yes,Average,Mother & father,Never married,Not applicable,550,Not applicable,Excellent,Satisfied,6,Mod. satisfied,Not applicable,Not applicable,Not applicable,Hardly any,Hardly any,Only some,A great deal,Only some,Cannot trust,Routine,2016
Not applicable,Ballot b,1972,"4+adlts,0mar,1+kids",1st person,12870,12870,Strongly agree,Neither,Neither,Strongly agree,Strongly disagree,"I have a steady partner, and we live in the same household.",Not applicable,$25000 to 29999,$25000 to 29999,Not applicable,Not applicable,Not applicable,0,0,1,0,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,1,Never,Much worse,Not applicable,Not too happy,Not very strong,Other party,Pacific,$25000 or more,$25000 or more,No,Average,Mother & stpfather,Divorced,Not applicable,551,Not too happy,Not applicable,Not at all sat,6,Mod. satisfied,Not too likely,Sev times a year,Once a month,Only some,Only some,Only some,Only some,Only some,Cannot trust,Not applicable,2016
Not applicable,Ballot c,1975,"3adlts,0mar,ntrel,rel,0kids",3rd person,0,936,No issp,No issp,No issp,No issp,Disagree,I don’t have a steady partner.,Not applicable,$1 000 to 2 999,Not applicable,Most of the time,Some of the time,Most of the time,Not applicable,Not applicable,Not applicable,Not applicable,No,Yes,Slightly false,Somewhat false,Disagree,Agree,Not applicable,Not applicable,Somewhat worse,Not applicable,Not too happy,No religion,Not str democrat,Pacific,Not applicable,$1000 to 2999,Yes,Below average,Mother & father,Never married,Not applicable,552,Not applicable,Good,More or less,5,Mod. satisfied,Not applicable,Not applicable,Not applicable,Only some,Only some,Only some,Only some,Hardly any,Cannot trust,Routine,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot b,1949,"2adlts,mar,0kids",1st person,0,21060,No issp,No issp,No issp,No issp,Agree,Not applicable,Not applicable,$40000 to 49999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Somewhat true,Slightly false,Strongly agree,Disagree,3,Once a week,Much better,Pretty happy,Not too happy,Strong,Not str democrat,Pacific,Not applicable,$25000 or more,Yes,Far below average,Mother,Married,40,553,Not applicable,Not applicable,More or less,5,Very satisfied,Not likely,Once a month,Sev times a week,Only some,Only some,Only some,Only some,Only some,Cannot trust,Not applicable,2016
Not applicable,Ballot b,1980,"1adlt,0kids",1st person,2106,31590,Strongly agree,Disagree,Disagree,Strongly agree,Agree,I don’t have a steady partner.,Not applicable,$60000 to 74999,$4 000 to 4 999,Not applicable,Not applicable,Not applicable,0,30,1,0,Yes,Yes,Not applicable,Not applicable,Not applicable,Not applicable,2,Everyday,About the same,Not applicable,Pretty happy,No religion,Other party,Pacific,$4000 to 4999,$25000 or more,Yes,Average,Mother & father,Never married,Not applicable,554,Not applicable,Not applicable,Not at all sat,4,Mod. satisfied,Not likely,Never,Once a month,Only some,A great deal,Only some,A great deal,Only some,Cannot trust,Not applicable,2016
