Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%,Year,Season
Joe Warren,TB ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2001,reg
David Winner,MIA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2001,reg
T.J. Hannig,DC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2001,reg
Preston Burpo,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2001,reg
Cole Burgman,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2001,reg
Nick Rimando,DC ,GK,28,28,2588,183,131,40,1.43,5/6,9,14,5,7,32.1,71.6,2002,reg
Tim Howard,MET,GK,27,27,2463,195,140,44,1.63,2/4,11,14,2,4,40.7,71.8,2002,reg
Zach Thornton,CHI,GK,27,27,2483,164,124,34,1.26,3/3,10,13,4,7,37.0,75.6,2002,reg
Matt Jordan,DAL,GK,27,27,2511,158,109,42,1.56,5/6,12,9,6,3,44.4,69.0,2002,reg
Joe Cannon,SJ ,GK,26,26,2375,136,100,29,1.12,4/5,13,10,3,8,50.0,73.5,2002,reg
Kevin Hartman,LA ,GK,18,18,1648,108,83,20,1.11,2/3,11,6,1,5,61.1,76.9,2002,reg
Tony Meola,KC ,GK,17,17,1519,88,65,21,1.24,0/2,6,5,5,3,35.3,73.9,2002,reg
Adin Brown,NE ,GK,16,16,1460,102,72,20,1.25,2/3,9,6,1,5,56.3,70.6,2002,reg
Tom Presthus,CLB,GK,15,15,1365,103,73,28,1.87,2/3,3,9,3,2,20.0,70.9,2002,reg
Scott Garlick,COL,GK,15,15,1374,92,61,24,1.6,1/1,6,7,2,4,40.0,66.3,2002,reg
Jon Busch,CLB,GK,14,13,1236,80,63,15,1.15,0/2,8,3,2,5,57.1,78.8,2002,reg
Bo Oshoniyi,KC ,GK,13,11,1096,80,55,24,2.18,1/2,3,5,4,1,23.1,68.8,2002,reg
David Kramer,COL,GK,13,13,1195,75,49,24,1.85,2/3,7,4,2,2,53.8,65.3,2002,reg
Juergen Sommer,NE ,GK,12,12,1090,87,53,29,2.42,1/1,3,8,1,2,25.0,60.9,2002,reg
Matt Reis,LA ,GK,11,10,929,47,33,13,1.3,1/1,5,3,2,2,45.5,70.2,2002,reg
Jon Conway,SJ ,GK,3,2,181,17,11,6,3.0,1/1,1,1,0,0,33.3,64.7,2002,reg
Paul Grafer,MET,GK,2,1,91,7,3,3,3.0,1/1,0,1,0,0,0.0,42.9,2002,reg
Henry Ring,CHI,GK,1,1,90,7,3,4,4.0,0/0,1,0,0,0,100.0,42.9,2002,reg
D.J. Countess,DAL,GK,1,1,100,7,6,1,1.0,0/0,0,0,1,0,0.0,85.7,2002,reg
Taly Goode,KC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2002,reg
Jeff Cassar,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2002,reg
Greg Sutton,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2002,reg
Rich Cullen,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2002,reg
Bryheem Hancock,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2002,reg
Jon Lowery,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2002,reg
Josh Lynk,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2002,reg
Mike McGinty,DC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2002,reg
Matt Napoleon,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2002,reg
Dan Sirota,LA ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2002,reg
Dmitri Strunkin,NE ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2002,reg
Michael Ueltschey,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2002,reg
Scott Vallow,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2002,reg
Chris Wanamaker,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2002,reg
Zach Thornton,CHI,GK,30,30,2728,165,123,37,1.23,4/4,15,6,8,8,50.0,74.5,2003,reg
Kevin Hartman,LA ,GK,30,30,2796,190,149,35,1.17,3/4,9,12,9,3,30.0,78.4,2003,reg
Tony Meola,KC ,GK,30,30,2797,172,121,44,1.47,6/6,11,10,9,4,36.7,70.3,2003,reg
Pat Onstad,SJ ,GK,27,27,2510,138,103,29,1.07,1/1,14,5,8,9,51.9,74.6,2003,reg
Scott Garlick,COL,GK,26,26,2346,123,83,38,1.46,5/6,11,10,5,9,42.3,67.5,2003,reg
Nick Rimando,DC ,GK,25,25,2318,131,100,29,1.16,3/5,10,9,6,7,40.0,76.3,2003,reg
Adin Brown,NE ,GK,25,25,2347,136,95,37,1.48,2/3,11,6,8,4,44.0,69.9,2003,reg
D.J. Countess,DAL,GK,24,24,2194,173,115,48,2.0,6/10,5,15,4,2,20.8,66.5,2003,reg
Jon Busch,CLB,GK,24,24,2194,144,104,35,1.46,8/8,9,8,6,4,37.5,72.2,2003,reg
Jonny Walker,MET,GK,14,14,1325,70,55,14,1.0,2/3,4,5,5,4,28.6,78.6,2003,reg
Tim Howard,MET,GK,13,13,1223,96,74,18,1.38,1/2,6,3,4,3,46.2,77.1,2003,reg
Jeff Cassar,DAL,GK,7,6,561,40,23,16,2.67,0/0,1,4,1,2,14.3,57.5,2003,reg
Tom Presthus,CLB,GK,7,6,613,30,21,9,1.5,0/0,1,4,2,2,14.3,70.0,2003,reg
Doug Warren,DC ,GK,5,4,404,33,26,6,1.5,2/2,0,2,2,0,0.0,78.8,2003,reg
Matt Reis,NE ,GK,5,5,460,23,12,10,2.0,2/2,1,3,1,0,20.0,52.2,2003,reg
Scott Vallow,COL,GK,4,4,380,22,14,7,1.75,2/2,0,2,2,0,0.0,63.6,2003,reg
Paul Grafer,MET,GK,3,3,270,24,14,8,2.67,0/0,1,2,0,1,33.3,58.3,2003,reg
Jon Conway,SJ ,GK,3,3,280,18,11,6,2.0,0/0,0,2,1,1,0.0,61.1,2003,reg
Bo Oshoniyi,KC ,GK,1,0,7,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2003,reg
Kyle Singer,NE ,GK,1,0,9,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2003,reg
Henry Ring,CHI,GK,1,0,11,1,1,0,0.0,0/0,0,0,0,0,0.0,100.0,2003,reg
Dan Popik,LA ,GK,1,0,16,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2003,reg
Curtis Spiteri,CHI,GK,1,0,44,10,4,6,6.0,0/0,0,1,0,0,0.0,40.0,2003,reg
Joe Cannon,COL,GK,1,0,44,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2003,reg
Clint Baumstark,CLB,GK,1,1,100,1,0,1,1.0,0/0,0,0,1,0,0.0,0.0,2003,reg
Byron Foss,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2003,reg
Jorge Geddes,DC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2003,reg
Mike McGinty,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2003,reg
Michael Ueltschey,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2003,reg
Josh Saunders,SJ ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2003,reg
Taly Goode,KC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2003,reg
Kevin Hartman,LA ,GK,30,30,2655,164,117,39,1.3,4/5,11,8,10,7,36.7,71.3,2004,reg
Joe Cannon,COL,GK,30,30,2700,187,150,32,1.07,5/7,10,9,11,10,33.3,80.2,2004,reg
Jon Busch,CLB,GK,29,29,2610,169,132,31,1.07,6/7,12,5,12,10,41.4,78.1,2004,reg
Henry Ring,CHI,GK,28,28,2520,170,128,40,1.43,5/6,7,12,9,7,25.0,75.3,2004,reg
Jonny Walker,MET,GK,28,28,2520,148,99,45,1.61,3/4,10,11,7,5,35.7,66.9,2004,reg
Pat Onstad,SJ ,GK,25,25,2250,132,98,32,1.28,2/3,7,8,10,6,28.0,74.2,2004,reg
Matt Reis,NE ,GK,24,23,2114,134,97,32,1.39,4/4,7,10,7,3,29.2,72.4,2004,reg
Tony Meola,KC ,GK,21,21,1890,102,76,22,1.05,2/2,9,7,5,7,42.9,74.5,2004,reg
Jeff Cassar,DAL,GK,19,19,1632,94,65,27,1.42,0/1,7,8,4,4,36.8,69.1,2004,reg
Troy Perkins,DC ,GK,16,16,1440,81,52,26,1.63,1/2,4,6,6,3,25.0,64.2,2004,reg
Nick Rimando,DC ,GK,13,13,1170,40,26,13,1.0,3/3,7,3,3,4,53.8,65.0,2004,reg
Scott Garlick,DAL,GK,12,11,1068,72,52,18,1.64,1/1,3,6,2,4,25.0,72.2,2004,reg
Bo Oshoniyi,KC ,GK,9,9,810,56,42,8,0.89,1/2,5,2,2,5,55.6,75.0,2004,reg
Adin Brown,NE ,GK,7,7,585,51,39,11,1.57,0/0,1,3,2,1,14.3,76.5,2004,reg
Jon Conway,SJ ,GK,5,5,450,18,15,3,0.6,0/0,2,2,1,2,40.0,83.3,2004,reg
D.J. Countess,CHI,GK,2,2,180,9,4,4,2.0,0/0,1,1,0,0,50.0,44.4,2004,reg
Zach Wells,MET,GK,2,2,180,8,4,4,2.0,1/1,1,1,0,0,50.0,50.0,2004,reg
Dan Popik,LA ,GK,1,0,44,3,2,1,1.0,0/0,0,1,0,0,0.0,66.7,2004,reg
Matt Jordan,CLB,GK,1,1,90,7,5,1,1.0,1/1,0,0,1,0,0.0,71.4,2004,reg
Doug Warren,DC ,GK,1,1,90,10,6,3,3.0,0/0,0,1,0,0,0.0,60.0,2004,reg
Matt Pickens,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2004,reg
William Hesmer,KC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2004,reg
Zach Thornton,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2004,reg
Kyle Singer,NE ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2004,reg
Andrew Terris,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2004,reg
Scott Vallow,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2004,reg
Steve Cronin,SJ ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2004,reg
Clint Baumstark,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2004,reg
Peter Billmeyer,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2004,reg
Pat Onstad,SJ ,GK,32,32,2880,136,105,31,0.97,4/5,18,4,10,12,56.3,77.2,2005,reg
Bo Oshoniyi,KC ,GK,32,32,2880,163,112,44,1.38,1/1,11,9,12,7,34.4,68.7,2005,reg
Matt Reis,NE ,GK,31,31,2784,162,115,35,1.13,4/5,16,7,8,10,51.6,71.0,2005,reg
Kevin Hartman,LA ,GK,31,31,2790,138,94,43,1.39,6/6,13,13,5,6,41.9,68.1,2005,reg
Nick Rimando,DC ,GK,30,30,2700,128,92,35,1.17,4/5,15,9,6,11,50.0,71.9,2005,reg
Scott Garlick,DAL,GK,28,27,2457,135,98,37,1.37,2/2,13,8,7,6,46.4,72.6,2005,reg
Zach Thornton,CHI,GK,27,26,2310,126,82,42,1.62,4/5,12,10,2,6,44.4,65.1,2005,reg
Joe Cannon,COL,GK,27,27,2399,139,100,32,1.19,6/6,10,12,4,8,37.0,71.9,2005,reg
D.J. Countess,RSL,GK,27,27,2422,170,112,54,2.0,3/3,4,19,4,4,14.8,65.9,2005,reg
Brad Guzan,ATL,GK,24,23,2079,156,104,46,2.0,7/9,3,16,4,2,12.5,66.7,2005,reg
Zach Wells,MET,GK,17,17,1530,95,69,21,1.24,3/5,6,4,7,4,35.3,72.6,2005,reg
Jonny Walker,CLB,GK,16,16,1440,87,66,18,1.13,0/0,6,8,2,5,37.5,75.9,2005,reg
Tony Meola,MET,GK,15,15,1350,117,83,28,1.87,0/0,6,5,4,2,40.0,70.9,2005,reg
Jon Busch,CLB,GK,9,9,765,50,34,14,1.56,0/0,3,5,1,3,33.3,68.0,2005,reg
Byron Foss,COL,GK,6,5,481,26,21,5,1.0,0/0,3,1,2,2,50.0,80.8,2005,reg
Bill Gaudette,CLB,GK,6,5,495,33,21,10,2.0,1/1,1,3,1,1,16.7,63.6,2005,reg
Matt Pickens,CHI,GK,5,3,298,15,10,4,1.33,0/0,2,2,1,0,40.0,66.7,2005,reg
Sergio Garcia,CHV,GK,5,5,441,30,19,8,1.6,0/0,1,3,1,1,20.0,63.3,2005,reg
Jay Nolly,RSL,GK,5,5,450,46,34,11,2.2,1/1,1,3,1,0,20.0,73.9,2005,reg
Jeff Cassar,DAL,GK,4,4,333,21,13,7,1.75,0/0,0,2,1,0,0.0,61.9,2005,reg
Martin Zuniga,CHV,GK,4,4,360,32,18,13,3.25,0/0,0,3,1,0,0.0,56.3,2005,reg
David Mahoney,CHI,GK,3,3,270,11,7,4,1.33,1/1,1,1,1,1,33.3,63.6,2005,reg
Doug Warren,NE ,GK,2,1,96,7,4,2,2.0,1/1,1,0,0,0,50.0,57.1,2005,reg
Troy Perkins,DC ,GK,2,2,180,8,5,2,1.0,1/1,1,1,0,0,50.0,62.5,2005,reg
Matt Jordan,CLB,GK,2,2,180,16,13,3,1.5,1/2,1,0,1,0,50.0,81.3,2005,reg
Dario Sala,DAL,GK,1,1,90,2,2,0,0.0,0/0,0,0,1,1,0.0,100.0,2005,reg
Steve Cronin,LA ,GK,1,1,90,5,3,2,2.0,0/0,0,0,1,0,0.0,60.0,2005,reg
Bouna Coundoul,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2005,reg
Chris Gomez,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2005,reg
Martin Hutton,KC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2005,reg
Shaun Kalnasy,CHV,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2005,reg
Noah Palmer,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2005,reg
Kyle Singer,NE ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2005,reg
Andrew Terris,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2005,reg
T.J. Tomasso,NE ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2005,reg
Michael Ueltschey,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2005,reg
William Hesmer,KC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2005,reg
Jon Conway,SJ ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2005,reg
Robby Fulton,SJ ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2005,reg
Josh Saunders,LA ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2005,reg
Andrew Weber,DC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2005,reg
Javier Barragan,CHV,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2005,reg
Clint Baumstark,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2005,reg
Michael Cardenas,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2005,reg
Pat Onstad,HOU,GK,32,32,2880,132,85,40,1.25,3/3,11,8,13,5,34.4,64.4,2006,reg
Matt Reis,NE ,GK,32,32,2880,182,141,35,1.09,1/3,12,8,12,10,37.5,77.5,2006,reg
Scott Garlick,RSL,GK,31,31,2745,158,108,43,1.39,1/2,10,12,9,4,32.3,68.4,2006,reg
Troy Perkins,DC ,GK,30,30,2700,140,100,34,1.13,8/8,15,6,9,8,50.0,71.4,2006,reg
Bo Oshoniyi,KC ,GK,29,29,2610,138,95,41,1.41,5/6,9,12,8,5,31.0,68.8,2006,reg
Joe Cannon,COL,GK,28,28,2440,146,99,42,1.5,3/4,9,11,7,7,32.1,67.8,2006,reg
Dario Sala,DAL,GK,28,28,2475,129,93,34,1.21,1/1,14,10,4,5,50.0,72.1,2006,reg
Kevin Hartman,LA ,GK,28,28,2520,120,88,32,1.14,2/3,10,12,6,9,35.7,73.3,2006,reg
Zach Thornton,CHI,GK,24,24,2160,118,86,30,1.25,2/3,8,8,8,7,33.3,72.9,2006,reg
Tony Meola,NY ,GK,20,20,1800,120,91,29,1.45,1/1,2,9,9,5,10.0,75.8,2006,reg
Preston Burpo,CHV,GK,19,19,1710,87,58,23,1.21,1/1,7,3,9,5,36.8,66.7,2006,reg
Brad Guzan,ATL,GK,13,13,1170,70,49,19,1.46,1/1,3,6,4,5,23.1,70.0,2006,reg
Jon Conway,NY ,GK,12,12,1080,67,54,12,1.0,3/3,7,2,3,5,58.3,80.6,2006,reg
Bill Gaudette,CLB,GK,11,11,990,60,45,13,1.18,0/1,3,5,3,3,27.3,75.0,2006,reg
Noah Palmer,CLB,GK,10,10,900,56,40,13,1.3,0/0,1,5,4,1,10.0,71.4,2006,reg
Jon Busch,CLB,GK,8,8,715,45,34,9,1.13,0/0,3,3,2,3,37.5,75.6,2006,reg
Matt Pickens,CHI,GK,8,8,720,57,47,11,1.38,1/1,5,3,0,1,62.5,82.5,2006,reg
Bouna Coundoul,COL,GK,5,4,440,22,15,7,1.75,1/1,2,2,1,2,40.0,68.2,2006,reg
Shaka Hislop,DAL,GK,4,4,360,25,13,10,2.5,0/0,2,2,0,0,50.0,52.0,2006,reg
Steve Cronin,LA ,GK,4,4,360,16,11,5,1.25,0/0,1,3,0,0,25.0,68.8,2006,reg
Andy Gruenebaum,CLB,GK,3,2,185,14,12,2,1.0,0/0,1,1,0,0,33.3,85.7,2006,reg
William Hesmer,KC ,GK,3,3,270,12,9,4,1.33,0/0,1,2,0,1,33.3,75.0,2006,reg
Jay Nolly,RSL,GK,2,1,134,13,7,6,6.0,0/0,0,1,0,0,0.0,53.8,2006,reg
Nick Rimando,DC ,GK,2,2,180,10,6,4,2.0,0/1,0,1,1,0,0.0,60.0,2006,reg
Jeff Cassar,DAL,GK,1,0,44,3,3,0,0.0,0/0,0,0,0,0,0.0,100.0,2006,reg
Dan Popik,CLB,GK,1,1,90,11,7,5,5.0,1/1,0,1,0,0,0.0,63.6,2006,reg
T.J. Tomasso,NE ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2006,reg
Chase Harrison,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2006,reg
Matt Jordan,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2006,reg
Doug Warren,NE ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2006,reg
Jonny Walker,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2006,reg
David Mahoney,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2006,reg
Eric Kronberg,KC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2006,reg
Ray Burse,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2006,reg
Zach Wells,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2006,reg
Josh Saunders,LA ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2006,reg
Nick Armington,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2006,reg
Michael Behonick,NY ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2006,reg
Chris Dunsheath,LA ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2006,reg
Peter Dzubay,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2006,reg
Martin Hutton,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2006,reg
Dominik Jakubek,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2006,reg
Ryan McIntosh,DC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2006,reg
Bouna Coundoul,COL,GK,30,30,2668,158,120,32,1.07,2/2,9,12,8,9,30.0,75.9,2007,reg
Kevin Hartman,KC ,GK,30,30,2700,159,110,45,1.5,6/7,11,12,7,5,36.7,69.2,2007,reg
Matt Reis,NE ,GK,30,30,2700,169,120,43,1.43,3/3,14,8,8,10,46.7,71.0,2007,reg
Joe Cannon,LA ,GK,29,29,2610,171,119,46,1.59,4/5,9,13,7,5,31.0,69.6,2007,reg
Troy Perkins,DC ,GK,29,29,2610,155,117,32,1.1,1/3,16,6,7,8,55.2,75.5,2007,reg
Pat Onstad,HOU,GK,27,27,2418,109,85,22,0.81,1/2,13,8,6,11,48.1,78.0,2007,reg
Nick Rimando,RSL,GK,27,27,2430,191,146,37,1.37,4/6,6,13,8,7,22.2,76.4,2007,reg
Matt Pickens,CHI,GK,27,27,2430,137,102,31,1.15,4/4,9,8,10,10,33.3,74.5,2007,reg
Brad Guzan,ATL,GK,27,27,2430,119,87,25,0.93,2/3,14,6,7,13,51.9,73.1,2007,reg
William Hesmer,CLB,GK,20,20,1800,99,71,29,1.45,2/3,8,7,5,5,40.0,71.7,2007,reg
Ronald Waterreus,NY ,GK,18,18,1557,89,59,31,1.72,3/3,6,6,5,5,33.3,66.3,2007,reg
Dario Sala,DAL,GK,18,18,1620,97,64,29,1.61,2/2,8,7,3,5,44.4,66.0,2007,reg
Jon Conway,NY ,GK,14,12,1142,79,57,14,1.17,1/2,6,5,2,4,42.9,72.2,2007,reg
Kenny Stamatopoulos,TOR,GK,12,12,1080,61,41,20,1.67,4/4,1,8,3,2,8.3,67.2,2007,reg
Andy Gruenebaum,CLB,GK,10,10,900,53,35,15,1.5,0/0,1,4,5,3,10.0,66.0,2007,reg
Srdjan Djekanovic,TOR,GK,8,7,635,34,22,9,1.29,1/1,2,3,2,2,25.0,64.7,2007,reg
Greg Sutton,TOR,GK,8,8,720,53,36,15,1.88,2/2,2,5,1,1,25.0,67.9,2007,reg
Shaka Hislop,DAL,GK,6,6,540,32,23,9,1.5,0/0,2,3,1,0,33.3,71.9,2007,reg
Ray Burse,DAL,GK,6,6,540,29,23,6,1.0,1/1,3,2,1,2,50.0,79.3,2007,reg
Zach Wells,HOU,GK,4,3,282,9,8,1,0.33,1/1,2,0,1,2,50.0,88.9,2007,reg
Preston Burpo,CHV,GK,3,3,270,16,13,3,1.0,0/0,1,1,1,1,33.3,81.3,2007,reg
Jon Busch,CHI,GK,3,3,270,20,15,5,1.67,2/2,1,2,0,1,33.3,75.0,2007,reg
Chris Seitz,DC,GK,3,3,270,14,6,8,2.67,0/0,0,2,1,0,0.0,42.9,2007,reg
Sam Reynolds,TOR,GK,2,2,175,11,9,2,1.0,1/1,1,0,1,0,50.0,81.8,2007,reg
Zach Thornton,COL,GK,1,0,32,3,1,2,2.0,0/0,0,1,0,0,0.0,33.3,2007,reg
Jay Nolly,DC ,GK,1,1,90,9,7,2,2.0,0/0,0,1,0,0,0.0,77.8,2007,reg
Steve Cronin,LA ,GK,1,1,90,8,6,2,2.0,0/0,0,1,0,0,0.0,75.0,2007,reg
David Monsalve,TOR,GK,1,1,90,10,7,3,3.0,0/0,0,1,0,0,0.0,70.0,2007,reg
Justin Myers,CHV,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2007,reg
Matt Wideman,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2007,reg
Lance Friesz,LA ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2007,reg
Kyle Reynish,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2007,reg
Jordan James,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2007,reg
Nick Noble,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2007,reg
Bill Gaudette,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2007,reg
Justin Hughes,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2007,reg
Shawn Crowe,DC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2007,reg
Eric Kronberg,KC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2007,reg
Chris Konopka,KC ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2007,reg
Boris Pardo,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2007,reg
Brad Knighton,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2007,reg
Danny Cepero,NY ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2007,reg
Tomer Chencinski,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2007,reg
Doug Warren,NE ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2007,reg
Nick Rimando,RSL,GK,30,30,2700,140,96,39,1.3,4/4,10,10,10,8,33.3,68.6,2008,reg
Jon Busch,CHI,GK,30,30,2700,156,122,33,1.1,0/1,13,10,7,10,43.3,78.2,2008,reg
Kevin Hartman,KC ,GK,30,30,2700,162,117,39,1.3,3/3,11,10,9,10,36.7,72.2,2008,reg
Joe Cannon,SJ ,GK,30,30,2700,166,124,38,1.27,3/5,8,13,9,9,26.7,74.7,2008,reg
William Hesmer,CLB,GK,29,29,2610,132,97,33,1.14,2/5,17,6,6,10,58.6,73.5,2008,reg
Matt Reis,NE ,GK,28,28,2485,150,107,38,1.36,3/4,11,11,6,6,39.3,71.3,2008,reg
Jon Conway,NY ,GK,28,28,2520,146,98,42,1.5,2/3,9,10,9,7,32.1,67.1,2008,reg
Dario Sala,DAL,GK,28,28,2520,131,92,37,1.32,1/1,8,8,12,7,28.6,70.2,2008,reg
Pat Onstad,HOU,GK,24,24,2098,105,76,24,1.0,0/1,10,4,9,7,41.7,72.4,2008,reg
Greg Sutton,TOR,GK,24,24,2160,160,116,35,1.46,6/7,7,10,7,6,29.2,72.5,2008,reg
Steve Cronin,LA ,GK,22,22,1935,141,92,44,2.0,3/3,6,9,6,2,27.3,65.2,2008,reg
Zach Wells,DC ,GK,17,17,1530,85,56,28,1.65,0/0,8,8,1,1,47.1,65.9,2008,reg
Bouna Coundoul,COL,GK,17,17,1530,77,54,21,1.24,3/3,6,8,3,5,35.3,70.1,2008,reg
