sr,rr,t,lm,bo,rem,sr,hr,sl
98.624,28.624,88.28,18.312,85.936,103.28,0,81.56,4
98.4,28.4,88,18.2,85.6,103,0,81,4
47.84,17.136,97.704,6.272,96.136,71.36,8.136,52.84,0
48.52,17.408,98.112,6.816,96.408,74.08,8.408,53.52,0
56,19.2,95.2,9.2,93.8,83,6.2,58,1
58.72,19.744,95.744,9.744,94.616,84.36,6.744,59.36,1
48.04,17.216,97.824,6.432,96.216,72.16,8.216,53.04,0
99.744,29.744,89.68,18.872,87.616,104.68,0,84.36,4
47.36,16.944,97.416,5.888,95.944,69.44,7.944,52.36,0
97.824,27.824,87.28,17.912,84.736,102.28,0,79.56,4
66.56,20.656,92.656,10.656,90.656,88.28,2.984,61.64,2
49.84,17.936,98.904,7.872,96.936,79.36,8.936,54.84,0
72.16,21.216,93.216,11.216,91.216,91.08,3.824,63.04,2
84.08,23.088,90.544,13.36,88.544,96.36,0.544,67.72,3
72.8,21.28,93.28,11.28,91.28,91.4,3.92,63.2,2
77.12,21.712,93.712,11.712,91.712,93.56,4.568,64.28,2
99.456,29.456,89.32,18.728,87.184,104.32,0,83.64,4
88.16,24.176,91.088,14.72,89.088,97.72,1.088,70.44,3
52.88,18.576,94.576,8.576,92.864,81.44,5.576,56.44,1
97.888,27.888,87.36,17.944,84.832,102.36,0,79.72,4
54.08,18.816,94.816,8.816,93.224,82.04,5.816,57.04,1
57.36,19.472,95.472,9.472,94.208,83.68,6.472,58.68,1
51.2,18.24,94.24,8.24,92.36,80.6,5.24,55.6,1
63.36,20.336,92.336,10.336,90.336,86.68,2.504,60.84,2
97.984,27.984,87.48,17.992,84.976,102.48,0,79.96,4
98.752,28.752,88.44,18.376,86.128,103.44,0,81.88,4
82.4,22.64,90.32,12.8,88.32,95.8,0.32,66.6,3
66.24,20.624,92.624,10.624,90.624,88.12,2.936,61.56,2
49.76,17.904,98.856,7.808,96.904,79.04,8.904,54.76,0
59.84,19.968,95.968,9.968,94.952,84.92,6.968,59.92,1
87.92,24.112,91.056,14.64,89.056,97.64,1.056,70.28,3
52.48,18.496,94.496,8.496,92.744,81.24,5.496,56.24,1
87.32,23.952,90.976,14.44,88.976,97.44,0.976,69.88,3
55.44,19.088,95.088,9.088,93.632,82.72,6.088,57.72,1
52.96,18.592,94.592,8.592,92.888,81.48,5.592,56.48,1
54.24,18.848,94.848,8.848,93.272,82.12,5.848,57.12,1
53.76,18.752,94.752,8.752,93.128,81.88,5.752,56.88,1
99.584,29.584,89.48,18.792,87.376,104.48,0,83.96,4
78.88,21.888,93.888,11.888,91.888,94.44,4.832,64.72,2
97.952,27.952,87.44,17.976,84.928,102.44,0,79.88,4
57.52,19.504,95.504,9.504,94.256,83.76,6.504,58.76,1
99.712,29.712,89.64,18.856,87.568,104.64,0,84.28,4
60.8,20.08,92.08,10.08,90.08,85.4,2.12,60.2,2
69.92,20.992,92.992,10.992,90.992,89.96,3.488,62.48,2
51.52,18.304,94.304,8.304,92.456,80.76,5.304,55.76,1
91.28,25.008,91.504,15.76,89.504,98.76,1.504,72.52,3
86.12,23.632,90.816,14.04,88.816,97.04,0.816,69.08,3
76.32,21.632,93.632,11.632,91.632,93.16,4.448,64.08,2
56.32,19.264,95.264,9.264,93.896,83.16,6.264,58.16,1
45.4,16.16,96.24,4.32,95.16,61.6,7.16,50.4,0
48.92,17.568,98.352,7.136,96.568,75.68,8.568,53.92,0
94.16,25.776,91.888,16.72,89.888,99.72,1.888,74.44,3
51.76,18.352,94.352,8.352,92.528,80.88,5.352,55.88,1
45.92,16.368,96.552,4.736,95.368,63.68,7.368,50.92,0
91.04,24.944,91.472,15.68,89.472,98.68,1.472,72.36,3
54.8,18.96,94.96,8.96,93.44,82.4,5.96,57.4,1
49.96,17.984,98.976,7.968,96.984,79.84,8.984,54.96,0
51.28,18.256,94.256,8.256,92.384,80.64,5.256,55.64,1
99.36,29.36,89.2,18.68,87.04,104.2,0,83.4,4
47.76,17.104,97.656,6.208,96.104,71.04,8.104,52.76,0
46.96,16.784,97.176,5.568,95.784,67.84,7.784,51.96,0
92.6,25.36,91.68,16.2,89.68,99.2,1.68,73.4,3
68.16,20.816,92.816,10.816,90.816,89.08,3.224,62.04,2
61.28,20.128,92.128,10.128,90.128,85.64,2.192,60.32,2
96.832,26.832,86.04,17.416,83.248,101.04,0,77.08,4
52.72,18.544,94.544,8.544,92.816,81.36,5.544,56.36,1
82.16,22.576,90.288,12.72,88.288,95.72,0.288,66.44,3
63.04,20.304,92.304,10.304,90.304,86.52,2.456,60.76,2
99.232,29.232,89.04,18.616,86.848,104.04,0,83.08,4
63.84,20.384,92.384,10.384,90.384,86.92,2.576,60.96,2
99.424,29.424,89.28,18.712,87.136,104.28,0,83.56,4
60.64,20.064,92.064,10.064,90.064,85.32,2.096,60.16,2
59.2,19.84,95.84,9.84,94.76,84.6,6.84,59.6,1
89.72,24.592,91.296,15.24,89.296,98.24,1.296,71.48,3
46.56,16.624,96.936,5.248,95.624,66.24,7.624,51.56,0
50.08,18.016,94.016,8.016,92.024,80.04,5.016,55.04,1
49.16,17.664,98.496,7.328,96.664,76.64,8.664,54.16,0
46.88,16.752,97.128,5.504,95.752,67.52,7.752,51.88,0
83.72,22.992,90.496,13.24,88.496,96.24,0.496,67.48,3
63.52,20.352,92.352,10.352,90.352,86.76,2.528,60.88,2
96.128,26.128,85.16,17.064,82.192,100.16,0,75.32,4
80.48,22.128,90.064,12.16,88.064,95.16,0.064,65.32,3
45.8,16.32,96.48,4.64,95.32,63.2,7.32,50.8,0
47.16,16.864,97.296,5.728,95.864,68.64,7.864,52.16,0
99.264,29.264,89.08,18.632,86.896,104.08,0,83.16,4
60.32,20.032,92.032,10.032,90.032,85.16,2.048,60.08,2
96.224,26.224,85.28,17.112,82.336,100.28,0,75.56,4
99.008,29.008,88.76,18.504,86.512,103.76,0,82.52,4
50.88,18.176,94.176,8.176,92.264,80.44,5.176,55.44,1
78.24,21.824,93.824,11.824,91.824,94.12,4.736,64.56,2
89.24,24.464,91.232,15.08,89.232,98.08,1.232,71.16,3
47.92,17.168,97.752,6.336,96.168,71.68,8.168,52.92,0
51.68,18.336,94.336,8.336,92.504,80.84,5.336,55.84,1
46.48,16.592,96.888,5.184,95.592,65.92,7.592,51.48,0
82.04,22.544,90.272,12.68,88.272,95.68,0.272,66.36,3
49.64,17.856,98.784,7.712,96.856,78.56,8.856,54.64,0
46.72,16.688,97.032,5.376,95.688,66.88,7.688,51.72,0
67.52,20.752,92.752,10.752,90.752,88.76,3.128,61.88,2
53.28,18.656,94.656,8.656,92.984,81.64,5.656,56.64,1
45.76,16.304,96.456,4.608,95.304,63.04,7.304,50.76,0
46.4,16.56,96.84,5.12,95.56,65.6,7.56,51.4,0
99.52,29.52,89.4,18.76,87.28,104.4,0,83.8,4
46.44,16.576,96.864,5.152,95.576,65.76,7.576,51.44,0
99.2,29.2,89,18.6,86.8,104,0,83,4
53.84,18.768,94.768,8.768,93.152,81.92,5.768,56.92,1
79.52,21.952,93.952,11.952,91.952,94.76,4.928,64.88,2
96.544,26.544,85.68,17.272,82.816,100.68,0,76.36,4
80.6,22.16,90.08,12.2,88.08,95.2,0.08,65.4,3
79.68,21.968,93.968,11.968,91.968,94.84,4.952,64.92,2
98.944,28.944,88.68,18.472,86.416,103.68,0,82.36,4
47.6,17.04,97.56,6.08,96.04,70.4,8.04,52.6,0
81.68,22.448,90.224,12.56,88.224,95.56,0.224,66.12,3
59.92,19.984,95.984,9.984,94.976,84.96,6.984,59.96,1
48.96,17.584,98.376,7.168,96.584,75.84,8.584,53.96,0
48.16,17.264,97.896,6.528,96.264,72.64,8.264,53.16,0
58.4,19.68,95.68,9.68,94.52,84.2,6.68,59.2,1
97.728,27.728,87.16,17.864,84.592,102.16,0,79.32,4
70.24,21.024,93.024,11.024,91.024,90.12,3.536,62.56,2
85.28,23.408,90.704,13.76,88.704,96.76,0.704,68.52,3
46.32,16.528,96.792,5.056,95.528,65.28,7.528,51.32,0
54.48,18.896,94.896,8.896,93.344,82.24,5.896,57.24,1
87.68,24.048,91.024,14.56,89.024,97.56,1.024,70.12,3
99.296,29.296,89.12,18.648,86.944,104.12,0,83.24,4
80.24,22.064,90.032,12.08,88.032,95.08,0.032,65.16,3
98.816,28.816,88.52,18.408,86.224,103.52,0,82.04,4
64.48,20.448,92.448,10.448,90.448,87.24,2.672,61.12,2
99.648,29.648,89.56,18.824,87.472,104.56,0,84.12,4
64.96,20.496,92.496,10.496,90.496,87.48,2.744,61.24,2
82.64,22.704,90.352,12.88,88.352,95.88,0.352,66.76,3
46.52,16.608,96.912,5.216,95.608,66.08,7.608,51.52,0
91.88,25.168,91.584,15.96,89.584,98.96,1.584,72.92,3
64.8,20.48,92.48,10.48,90.48,87.4,2.72,61.2,2
49.04,17.616,98.424,7.232,96.616,76.16,8.616,54.04,0
75.04,21.504,93.504,11.504,91.504,92.52,4.256,63.76,2
87.08,23.888,90.944,14.36,88.944,97.36,0.944,69.72,3
76.64,21.664,93.664,11.664,91.664,93.32,4.496,64.16,2
85.88,23.568,90.784,13.96,88.784,96.96,0.784,68.92,3
99.488,29.488,89.36,18.744,87.232,104.36,0,83.72,4
51.44,18.288,94.288,8.288,92.432,80.72,5.288,55.72,1
58,19.6,95.6,9.6,94.4,84,6.6,59,1
49.48,17.792,98.688,7.584,96.792,77.92,8.792,54.48,0
70.4,21.04,93.04,11.04,91.04,90.2,3.56,62.6,2
72.96,21.296,93.296,11.296,91.296,91.48,3.944,63.24,2
94.4,25.84,91.92,16.8,89.92,99.8,1.92,74.6,3
54.72,18.944,94.944,8.944,93.416,82.36,5.944,57.36,1
80.84,22.224,90.112,12.28,88.112,95.28,0.112,65.56,3
94.64,25.904,91.952,16.88,89.952,99.88,1.952,74.76,3
91.52,25.072,91.536,15.84,89.536,98.84,1.536,72.68,3
97.6,27.6,87,17.8,84.4,102,0,79,4
99.84,29.84,89.8,18.92,87.76,104.8,0,84.6,4
85.52,23.472,90.736,13.84,88.736,96.84,0.736,68.68,3
54.16,18.832,94.832,8.832,93.248,82.08,5.832,57.08,1
55.36,19.072,95.072,9.072,93.608,82.68,6.072,57.68,1
46.16,16.464,96.696,4.928,95.464,64.64,7.464,51.16,0
96.416,26.416,85.52,17.208,82.624,100.52,0,76.04,4
86,23.6,90.8,14,88.8,97,0.8,69,3
79.84,21.984,93.984,11.984,91.984,94.92,4.976,64.96,2
90.8,24.88,91.44,15.6,89.44,98.6,1.44,72.2,3
96.352,26.352,85.44,17.176,82.528,100.44,0,75.88,4
55.6,19.12,95.12,9.12,93.68,82.8,6.12,57.8,1
72,21.2,93.2,11.2,91.2,91,3.8,63,2
84.56,23.216,90.608,13.52,88.608,96.52,0.608,68.04,3
59.76,19.952,95.952,9.952,94.928,84.88,6.952,59.88,1
83,22.8,90.4,13,88.4,96,0.4,67,3
74.24,21.424,93.424,11.424,91.424,92.12,4.136,63.56,2
45.24,16.096,96.144,4.192,95.096,60.96,7.096,50.24,0
49.44,17.776,98.664,7.552,96.776,77.76,8.776,54.44,0
66.72,20.672,92.672,10.672,90.672,88.36,3.008,61.68,2
54,18.8,94.8,8.8,93.2,82,5.8,57,1
94.52,25.872,91.936,16.84,89.936,99.84,1.936,74.68,3
47.56,17.024,97.536,6.048,96.024,70.24,8.024,52.56,0
47.64,17.056,97.584,6.112,96.056,70.56,8.056,52.64,0
47.48,16.992,97.488,5.984,95.992,69.92,7.992,52.48,0
97.12,27.12,86.4,17.56,83.68,101.4,0,77.8,4
69.28,20.928,92.928,10.928,90.928,89.64,3.392,62.32,2
98.976,28.976,88.72,18.488,86.464,103.72,0,82.44,4
45.64,16.256,96.384,4.512,95.256,62.56,7.256,50.64,0
99.104,29.104,88.88,18.552,86.656,103.88,0,82.76,4
99.328,29.328,89.16,18.664,86.992,104.16,0,83.32,4
93.56,25.616,91.808,16.52,89.808,99.52,1.808,74.04,3
57.76,19.552,95.552,9.552,94.328,83.88,6.552,58.88,1
56.96,19.392,95.392,9.392,94.088,83.48,6.392,58.48,1
55.84,19.168,95.168,9.168,93.752,82.92,6.168,57.92,1
48.32,17.328,97.992,6.656,96.328,73.28,8.328,53.32,0
94.04,25.744,91.872,16.68,89.872,99.68,1.872,74.36,3
97.76,27.76,87.2,17.88,84.64,102.2,0,79.4,4
67.2,20.72,92.72,10.72,90.72,88.6,3.08,61.8,2
57.84,19.568,95.568,9.568,94.352,83.92,6.568,58.92,1
54.64,18.928,94.928,8.928,93.392,82.32,5.928,57.32,1
93.68,25.648,91.824,16.56,89.824,99.56,1.824,74.12,3
98.592,28.592,88.24,18.296,85.888,103.24,0,81.48,4
88.88,24.368,91.184,14.96,89.184,97.96,1.184,70.92,3
73.6,21.36,93.36,11.36,91.36,91.8,4.04,63.4,2
62.4,20.24,92.24,10.24,90.24,86.2,2.36,60.6,2
82.88,22.768,90.384,12.96,88.384,95.96,0.384,66.92,3
59.04,19.808,95.808,9.808,94.712,84.52,6.808,59.52,1
71.68,21.168,93.168,11.168,91.168,90.84,3.752,62.92,2
48.4,17.36,98.04,6.72,96.36,73.6,8.36,53.4,0
46.08,16.432,96.648,4.864,95.432,64.32,7.432,51.08,0
97.024,27.024,86.28,17.512,83.536,101.28,0,77.56,4
53.2,18.64,94.64,8.64,92.96,81.6,5.64,56.6,1
65.44,20.544,92.544,10.544,90.544,87.72,2.816,61.36,2
98.144,28.144,87.68,18.072,85.216,102.68,0,80.36,4
58.8,19.76,95.76,9.76,94.64,84.4,6.76,59.4,1
69.6,20.96,92.96,10.96,90.96,89.8,3.44,62.4,2
48.44,17.376,98.064,6.752,96.376,73.76,8.376,53.44,0
97.504,27.504,86.88,17.752,84.256,101.88,0,78.76,4
58.64,19.728,95.728,9.728,94.592,84.32,6.728,59.32,1
73.92,21.392,93.392,11.392,91.392,91.96,4.088,63.48,2
